Item,Mean_nocontext,YMin_nocontext,YMax_nocontext,Mean_context,CILow,CIHigh,YMin_context,YMax_context
171678:13,3.2,2.1,4.5,2.2,0.8000000000000003,0.8999999999999999,1.4,3.1
171692:24,3.1,1.9,4.4,2.5,0.7,0.7999999999999998,1.8,3.3
171693:31,3.7,2.6,4.8,2.2,0.8000000000000003,1,1.4,3.2
171919:12,2.8,1.7,4,2,0.8,1,1.2,3
171919:19,1.8,1.0975000000000001,2.7,3.6,1.1,0.9999999999999996,2.5,4.6
171931:87,4.3,3.1,5.3,1.3,0.19999999999999996,0.30000000000000004,1.1,1.6
171967:54,5.1,4.4,5.8,6.2,0.6000000000000005,0.5,5.6,6.7
171972:37,4.3,3.2,5.5,5.9,1,0.7999999999999998,4.9,6.7
172002:14,4.1,3.2,5.002499999999998,5.8,0.5,0.40000000000000036,5.3,6.2
172225:11,4.4,3.3,5.4,3.6,1.2000000000000002,1.1999999999999997,2.4,4.8
172264:114,4.9,4.1,5.7,4.4,1.1000000000000005,1.0999999999999996,3.3,5.5
172589:128,3.8,2.5,4.9,1.9,0.3999999999999999,0.3999999999999999,1.5,2.3
172629:33,3.6,2.5,4.7,2.2,0.8000000000000003,1.1999999999999997,1.4,3.4
172656:9,5,3.7,6.1,6,0.5,0.5,5.5,6.5
173289:7,5.9,4.9,6.6,4.9,1.3000000000000003,1.1999999999999993,3.6,6.1
173724:18,6.2,5.4,6.8,6.2,0.7999999999999998,0.5999999999999996,5.4,6.8
173813:37,3.6,2.5,4.7,3.2,0.9000000000000004,0.7999999999999998,2.3,4
